Time, Latitude, Longitude
1205, 			36.31396lon=-116.39126, 			lat=36.31396-116.39126
1210, 			36.303677lon=-116.46438, 			lat=36.303677-116.46438
1215, 			36.318867lon=-116.54943, 			lat=36.318867-116.54943
1220, 			36.34958lon=-116.63015, 			lat=36.34958-116.63015
1225, 			36.366634lon=-116.703125, 			lat=36.366634-116.703125
1230, 			36.40373lon=-116.77915, 			lat=36.40373-116.77915
1235, 			36.451443lon=-116.84898, 			lat=36.451443-116.84898
1240, 			36.394463lon=-116.84782, 			lat=36.394463-116.84782
1245, 			36.306374lon=-116.816284, 			lat=36.306374-116.816284
1250, 			36.285137lon=-116.80394, 			lat=36.285137-116.80394
1255, 			36.270576lon=-116.78756, 			lat=36.270576-116.78756
1260, 			36.230118lon=-116.767105, 			lat=36.230118-116.767105
1265, 			36.230083lon=-116.76711, 			lat=36.230083-116.76711
1270, 			36.230637lon=-116.77202, 			lat=36.230637-116.77202
1275, 			36.230732lon=-116.77303, 			lat=36.230732-116.77303
1280, 			36.23175lon=-116.77343, 			lat=36.23175-116.77343
1285, 			36.231503lon=-116.773254, 			lat=36.231503-116.773254
1290, 			36.23007lon=-116.76706, 			lat=36.23007-116.76706
1295, 			36.230053lon=-116.76716, 			lat=36.230053-116.76716
1300, 			36.230076lon=-116.767166, 			lat=36.230076-116.767166
1305, 			36.230114lon=-116.767166, 			lat=36.230114-116.767166
1310, 			36.230053lon=-116.76722, 			lat=36.230053-116.76722
1315, 			36.230103lon=-116.767075, 			lat=36.230103-116.767075
1320, 			36.230038lon=-116.76714, 			lat=36.230038-116.76714
1325, 			36.230152lon=-116.76719, 			lat=36.230152-116.76719
1330, 			36.230076lon=-116.767105, 			lat=36.230076-116.767105
1335, 			36.23015lon=-116.76728, 			lat=36.23015-116.76728
1340, 			36.23003lon=-116.76716, 			lat=36.23003-116.76716
1345, 			36.230007lon=-116.767204, 			lat=36.230007-116.767204
1350, 			36.23012lon=-116.767136, 			lat=36.23012-116.767136
1355, 			36.229927lon=-116.76703, 			lat=36.229927-116.76703
1360, 			36.230083lon=-116.76718, 			lat=36.230083-116.76718
1365, 			36.23014lon=-116.76705, 			lat=36.23014-116.76705
1370, 			36.23015lon=-116.7672, 			lat=36.23015-116.7672
1375, 			36.230045lon=-116.76716, 			lat=36.230045-116.76716
1380, 			36.230095lon=-116.76715, 			lat=36.230095-116.76715
1385, 			36.230175lon=-116.76715, 			lat=36.230175-116.76715
1390, 			36.230106lon=-116.76715, 			lat=36.230106-116.76715
1395, 			36.23009lon=-116.76707, 			lat=36.23009-116.76707
1400, 			36.230083lon=-116.76708, 			lat=36.230083-116.76708
1405, 			36.23004lon=-116.76715, 			lat=36.23004-116.76715
1410, 			36.230034lon=-116.76?723, 			lat=36.230034-116.76?723
1415, 			36.23019lon=-116.76709, 			lat=36.23019-116.76709
1420, 			36.22995lon=-116.767204, 			lat=36.22995-116.767204
